sentence,is_top_customer,is_top_supplier
One customer accounted for 18% of our total revenue in 2023.,1,0
Our largest customer represented approximately 12% of our sales in 2022.,1,0
Two customers each contributed over 10% to our annual revenue in 2024.,1,0
We rely heavily on a small number of clients for the majority of our income.,1,0
Losing one of our key customers would significantly impact our financial results.,1,0
"During 2023, our top five customers contributed 38% of total sales.",1,0
One customer accounted for 14% of our net sales during fiscal year 2022.,1,0
"For the year ended 2024, three customers accounted for 40% of our revenue.",1,0
Revenue from one large customer represented over 15% of our earnings in 2021.,1,0
Approximately 20% of revenue was derived from two customers in 2023.,1,0
We rely on two suppliers for over 60% of our raw materials.,0,1
Our operations could be disrupted if our main supplier experiences delays.,0,1
One supplier represented 35% of our procurement spend in 2023.,0,1
A disruption from our key supplier could severely impact production.,0,1
We do not have long-term supply agreements with critical vendors.,0,1
"In 2022, 70% of our parts were sourced from a single supplier.",0,1
The loss of a top supplier could delay our ability to fulfill orders.,0,1
Two major vendors provide 80% of our shipping materials.,0,1
We depend on exclusive agreements with select vendors.,0,1
Component shortages from key suppliers affected our delivery schedule.,0,1
Our revenue concentration and reliance on limited vendors present risk.,1,1
A small number of customers and suppliers could impact financial performance.,1,1
Customer and supplier concentration could expose us to business risk.,1,1
Changes in purchasing behavior of top clients or vendors may affect results.,1,1
Dependence on a few clients and supply partners heightens our exposure.,1,1
We have a broad customer base across various industries.,0,0
Our supplier network is diverse and well-distributed geographically.,0,0
Revenue is spread evenly among hundreds of customers.,0,0
We do not depend on any single client for our operations.,0,0
Multiple vendors provide us with flexibility in supply chain operations.,0,0
Customer contracts are short-term and widely distributed.,0,0
There are no long-term commitments to any supplier.,0,0
We source components from more than ten regions globally.,0,0
Our customer list includes many small- and mid-sized firms.,0,0
No single vendor accounts for more than 5% of our procurement.,0,0
One customer accounted for 18% of our total revenue in 2023.,1,0
One customer accounted for 18% of our total revenue in 2023.,1,0
One customer accounted for 18% of our total revenue in 2023.,1,0
One customer accounted for 18% of our total revenue in 2023.,1,0
One customer accounted for 18% of our total revenue in 2023.,1,0
One customer accounted for 18% of our total revenue in 2023.,1,0
One customer accounted for 18% of our total revenue in 2023.,1,0
One customer accounted for 18% of our total revenue in 2023.,1,0
One customer accounted for 18% of our total revenue in 2023.,1,0
One customer accounted for 18% of our total revenue in 2023.,1,0
One customer accounted for 18% of our total revenue in 2023.,1,0
One customer accounted for 18% of our total revenue in 2023.,1,0
One customer accounted for 18% of our total revenue in 2023.,1,0
One customer accounted for 18% of our total revenue in 2023.,1,0
One customer accounted for 18% of our total revenue in 2023.,1,0
